Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|24/08/2012| 87163900|1994|OSHKOSH|TRAILER|0|PESADO|TRAILER|OCASIONAL|OTROS|0|1|22.68|14261.7|3308.71|
ESTADOS UNIDOS|EXPRESS AEREO|24/08/2012| 87163900|1994|OSHKOSH|TRAILER|0|PESADO|TRAILER|OCASIONAL|OTROS|0|1|22.68|14258.06|3307.87|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|313218.69|37586.24|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|313218.69|37586.24|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|504652.07|60558.25|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|504652.07|60558.25|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|504652.07|60558.25|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2500|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|175876.27|21105.15|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|870705.07|104484.61|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|870705.07|104484.61|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|870705.07|104484.61|
TAILANDIA|CENTRAL DE GUATEMALA|08/08/2012| 87042159|2013|MITSUBISHI|L200 GLS 4WD|2477|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|870705.07|104484.61|
ESTADOS UNIDOS|EXPRESS AEREO|24/08/2012| 87163900|1994|OSHKOSH|TRAILER|0|PESADO|TRAILER|OCASIONAL|OTROS|0|1|22.68|14259.52|3308.21|
INDIA|PUERTO QUETZAL|10/08/2012| 87042159|2012|MAHINDRA|Pik-Up SC 4x2|2490|LIVIANO|PICK UP|OCASIONAL|DIESEL|2|2|1|85973.44|10316.81|
